Region Name,City Name,School Name,School Score
Durham Region,Whitby,Robert Munsch,6.5
City of Toronto,Toronto,St. Benedict,6.5
Durham Region,Ajax,St. Catherine of Siena,6.5
Peel Region,Brampton,St. Joachim,6.5
Peel Region,Mississauga,St. Julia,6.5
Peel Region,Mississauga,St. Pio of Pietrelcina,6.5
York Region,Thornhill,St. Rene Goupil-St. Luke,6.5
Durham Region,Oshawa,Vincent Massey,6.5
York Region,Woodbridge,Woodbridge,6.5
City of Toronto,Toronto,Anson S Taylor,6.4
City of Toronto,Toronto,Birch Cliff,6.4
Durham Region,Oshawa,Corpus-Christi,6.4
York Region,Markham,Ellen Fairclough,6.4
City of Toronto,Toronto,Fairmount,6.4
Peel Region,Brampton,Father Clair Tipping,6.4
York Region,Woodbridge,Fossil Hill,6.4
City of Toronto,Toronto,Glamorgan,6.4
Durham Region,Oshawa,Gordon B Attersley,6.4
City of Toronto,Toronto,Holy Child,6.4
Peel Region,Mississauga,Holy Cross,6.4
City of Toronto,Toronto,Ionview,6.4
York Region,Markham,Legacy,6.4
City of Toronto,Toronto,McMurrich,6.4
Durham Region,Oshawa,Norman G. Powers,6.4
Halton Region,Milton,Queen of Heaven,6.4
Peel Region,Brampton,St. Alphonsa,6.4
Peel Region,Brampton,St. Angela Merici,6.4
City of Toronto,Toronto,St. Barbara,6.4
City of Toronto,Toronto,St. Dominic Savio,6.4
Peel Region,Mississauga,St. Faustina,6.4
Halton Region,Burlington,St. Gabriel,6.4
York Region,Woodbridge,St. Gabriel the Archangel,6.4
Halton Region,Burlington,St. Johns,6.4
Durham Region,Ajax,St. Josephine Bakhita,6.4
Peel Region,Brampton,St. Rita,6.4
Peel Region,Brampton,St. Stephen,6.4
Durham Region,Oshawa,College Hill,6.3
Halton Region,Burlington,Frontenac,6.3
Peel Region,Brampton,Good Shepherd,6.3
City of Toronto,Toronto,Hawthorne II Bilingual,6.3
City of Toronto,Toronto,Holy Name,6.3
City of Toronto,Toronto,James S Bell,6.3
Durham Region,Oshawa,Lakewoods,6.3
Halton Region,Oakville,Our Lady of Peace,6.3
York Region,Stouffville,Pape-François,6.3
City of Toronto,Toronto,Second Street,6.3
Peel Region,Mississauga,St. Francis of Assisi,6.3
Peel Region,Brampton,St. Isaac Jogues,6.3
City of Toronto,Toronto,St. Jean de Brebeuf,6.3
City of Toronto,Toronto,St. Nicholas,6.3
City of Toronto,Toronto,St. Timothy,6.3
Durham Region,Oshawa,Stephen G Saywell,6.3
York Region,Newmarket,Terry Fox,6.3
York Region,Maple,Teston Village,6.3
City of Toronto,Toronto,Alexander Muir/Gladstone Ave,6.2
York Region,Maple,Anne Frank,6.2
City of Toronto,Toronto,Blantyre,6.2
City of Toronto,Toronto,Charlottetown,6.2
Peel Region,Brampton,Father Michael McGivney,6.2
City of Toronto,Toronto,Fern Avenue,6.2
City of Toronto,Toronto,Ledbury Park,6.2
York Region,Markham,Markham Gateway,6.2
Durham Region,Ajax,St. Bernadette,6.2
Peel Region,Brampton,St. Daniel Comboni,6.2
City of Toronto,Toronto,St. Thomas Aquinas,6.2
City of Toronto,Toronto,St. Thomas More,6.2
City of Toronto,Toronto,St. Victor,6.2
Durham Region,Pickering,St. Wilfrid,6.2
York Region,Newmarket,Stuart Scott,6.2
City of Toronto,Toronto,Timberbank,6.2
Halton Region,Milton,Viola Desmond,6.2
Durham Region,Oshawa,Adelaide Mclaughlin,6.1
Peel Region,Brampton,Aylesbury,6.1
York Region,Thornhill,Brownridge,6.1
Peel Region,Caledon,Fairlawn,6.1
Peel Region,Brampton,Father C W Sullivan,6.1
York Region,Maple,Father John Kelly,6.1
City of Toronto,Toronto,Heather Heights,6.1
Halton Region,Burlington,Lakeshore,6.1
City of Toronto,Toronto,Lanor,6.1
Peel Region,Mississauga,McBride Avenue,6.1
City of Toronto,Toronto,North Bendale,6.1
City of Toronto,Toronto,Our Lady of Grace,6.1
City of Toronto,Toronto,Pauline Johnson,6.1
Peel Region,Mississauga,Queenston Drive,6.1
City of Toronto,Toronto,Rockford,6.1
City of Toronto,Toronto,Scarborough Sud,6.1
