Trend,School_Name,City,Current_rank,Overall_last,dummy_1,dummy_2,dummy_3
Patrick,Fogarty,Orillia,6.4,n/a,,,
Sir,Winston,Churchill,Thunder,Bay,6.4,n/a,
Bear,Creek,Barrie,6.4,n/a,,,
Holy,Cross,Peterborough,6.4,n/a,,,
Nantyr,Shores,Innisfil,6.4,n/a,,,
North,Dundas,Chesterville,6.4,n/a,,,
Brampton,Centennial,Brampton,6.4,n/a,,,
Castlebrooke,Brampton,6.4,n/a,,,,
Clarkson,Mississauga,6.4,n/a,,,,
Dunbarton,Pickering,6.4,n/a,,,,
Louise,Arbour,Brampton,6.4,n/a,,,
Holy,Trinity,Oakville,6.3,n/a,,,
Franco-Ouest,Nepean,6.3,n/a,,,,
St,Pius,X,Ottawa,6.3,n/a,,
Chesley,Chesley,6.3,n/a,,,,
St,Johns,Brantford,6.3,n/a,,,
Woodbridge,Woodbridge,6.3,n/a,,,,
Assumption,Brantford,6.3,n/a,,,,
St,Thomas,Aquinas,Kenora,6.3,n/a,,
Albert,Campbell,Toronto,6.3,n/a,,,
Bell,Nepean,6.3,n/a,,,,
Holy,Cross,Kingston,6.3,n/a,,,
Holy,Trinity,Courtice,6.3,n/a,,,
Crestwood,Peterborough,6.3,n/a,,,,
Bowmanville,Bowmanville,6.3,n/a,,,,
Peninsula,Shores,Wiarton,6.3,n/a,,,
Notre,Dame,Ajax,6.3,n/a,,,
Sacred,Heart,Walkerton,6.3,n/a,,,
St,Mary,Pickering,6.3,n/a,,,
Widdifield,North,Bay,6.3,n/a,,,
Nottawasaga,Pines,Angus,6.3,n/a,,,
Opeongo,Douglas,6.3,n/a,,,,
George,Harvey,Toronto,6.3,n/a,,,
Mississauga,Mississauga,6.3,n/a,,,,
Orillia,Orillia,6.3,n/a,,,,
Valour,Petawawa,6.3,n/a,,,,
Father,Michael,Goetz,Mississauga,6.2,n/a,,
St,Josephs,Cornwall,6.2,n/a,,,
Barrie,North,Barrie,6.2,n/a,,,
Cardinal,Leger,Brampton,6.2,n/a,,,
