School_Name,City,City,Current_rank,Overall_last,dummy_1,dummy_2,dummy_3,dummy_4
Mountview,Alternative,Toronto,8,n/a,,,,
Naismith,Memorial,Almonte,8,n/a,,,,
Notre-Place,Orléans,8,n/a,,,,,
Our,Lady,Help,of,Christians,Richmond,Hill,8,n/a
Our,Lady,of,Lourdes,Kingston,8,n/a,,
Our,Lady,of,Peace,Oakville,8,n/a,,
Our,Lady,of,Providence,Brantford,8,n/a,,
Palmerston,Avenue,Toronto,8,n/a,,,,
Pape,Avenue,Toronto,8,n/a,,,,
Parkland,Markham,8,n/a,,,,,
Power,Glen,St,Catharines,8,n/a,,,
Princess,Elizabeth,Welland,8,n/a,,,,
Resurrection,Brantford,8,n/a,,,,,
Rolph,Road,Toronto,8,n/a,,,,
St,Alexander,Fonthill,8,n/a,,,,
St,Andrew,Nepean,8,n/a,,,,
St,Andrews,Toronto,8,n/a,,,,
St,Ann,Fenwick,8,n/a,,,,
St,Anne,Kanata,8,n/a,,,,
St,Cecilia,Maple,8,n/a,,,,
St,Clare,of,Assisi,Stoney,Creek,8,n/a,
St,Davids/Laura,Secord,St,Davids,8,n/a,,
St,Francis,Xavier,Markham,8,n/a,,,
St,Michael,Fitzroy,Harbour,8,n/a,,,
St.,James,Mississauga,8,n/a,,,,
Waverly,Oshawa,8,n/a,,,,,
Westdale,St,Catharines,8,n/a,,,,
Alvin,Curling,Toronto,7.9,n/a,,,,
Beaverton,Beaverton,7.9,n/a,,,,,
Bridlewood,Toronto,7.9,n/a,,,,,
Buttonville,Markham,7.9,n/a,,,,,
Canadian,Martyrs,Burlington,7.9,n/a,,,,
Castor,Valley,Greely,7.9,n/a,,,,
Dalewood,St,Catharines,7.9,n/a,,,,
Duke,of,Cambridge,Bowmanville,7.9,n/a,,,
Fitch,Street,Welland,7.9,n/a,,,,
Jackman,Avenue,Toronto,7.9,n/a,,,,
Kettleby,Kettleby,7.9,n/a,,,,,
Khairul,Ummah,Toronto,7.9,n/a,,,,
Lackner,Woods,Kitchener,7.9,n/a,,,,
Lancaster,Drive,Kingston,7.9,n/a,,,,
Mary,Phelan,Guelph,7.9,n/a,,,,
McKay,Port,Colborne,7.9,n/a,,,,
McNaughton,Ave,Chatham,7.9,n/a,,,,
Monseigneur,Jean,Noël,Windsor,7.9,n/a,,,
Mutchmor,Ottawa,7.9,n/a,,,,,
Niagara,Street,Toronto,7.9,n/a,,,,
Norseman,Toronto,7.9,n/a,,,,,
Northumberland,Hills,Castleton,7.9,n/a,,,,
Our,Lady,of,Good,Voyage,Mississauga,7.9,n/a,
Our,Lady,of,Grace,Kitchener,7.9,n/a,,
Our,Lady,of,Lourdes,Waterloo,7.9,n/a,,
Our,Lady,of,Victory,Milton,7.9,n/a,,
Owen,Toronto,7.9,n/a,,,,,
Pape-François,Stouffville,7.9,n/a,,,,,
Park,Lawn,Toronto,7.9,n/a,,,,
Pineland,Burlington,7.9,n/a,,,,,
Quaker,Road,Welland,7.9,n/a,,,,
Redstone,Richmond,Hill,7.9,n/a,,,,
Rickson,Ridge,Guelph,7.9,n/a,,,,
Rivière,Castor,Embrun,7.9,n/a,,,,
Senator,Gibson,Beamsville,7.9,n/a,,,,
St,Andrew,Woodbridge,7.9,n/a,,,,
St,Jacobs,St,Jacobs,7.9,n/a,,,
St,James,Maple,7.9,n/a,,,,
St,Jerome,Gloucester,7.9,n/a,,,,
St,John,Bosco,Oshawa,7.9,n/a,,,
St,Joseph,Markham,7.9,n/a,,,,
St,Marguerite,d'Youville,Oakville,7.9,n/a,,,
St,Mark,London,7.9,n/a,,,,
St,Mark,the,Evangelist,Whitby,7.9,n/a,,
St,Mary's,Listowel,7.9,n/a,,,,
St,Michael,Thornhill,7.9,n/a,,,,
St.,Gabriel,Kanata,7.9,n/a,,,,
St.,Rose,of,Lima,Nepean,7.9,n/a,,
The,Waterfront,Toronto,7.9,n/a,,,,
Tom,Thomson,Burlington,7.9,n/a,,,,
Trillium,Orléans,7.9,n/a,,,,,
Trillium,Woods,Richmond,Hill,7.9,n/a,,,
Unionville,Meadows,Markham,7.9,n/a,,,,
Whitchurch,Highlands,Stouffville,7.9,n/a,,,,
A,J,Baker,Kintore,7.8,n/a,,,
Adam,Beck,Toronto,7.8,n/a,,,,
Alexander,Sudbury,7.8,n/a,,,,,
Alton,Village,Burlington,7.8,n/a,,,,
Anne,Frank,Maple,7.8,n/a,,,,
Bayview,Glen,Thornhill,7.8,n/a,,,,
Broadview,Ottawa,7.8,n/a,,,,,
Caistor,Central,Caistor,Centre,7.8,n/a,,,
Central,Guelph,7.8,n/a,,,,,
Chartland,Toronto,7.8,n/a,,,,,
Cobden,Cobden,7.8,n/a,,,,,
Frankland,Toronto,7.8,n/a,,,,,
Georges,P,Vanier,Chatham,7.8,n/a,,,
Greenbank/Epsom,Greenbank,7.8,n/a,,,,,
Highview,Aurora,7.8,n/a,,,,,
Holy,Cross,LaSalle,7.8,n/a,,,,
Holy,Family,Oakville,7.8,n/a,,,,
Hullett,Central,Londesboro,7.8,n/a,,,,
James,W.,Hill,Oakville,7.8,n/a,,,
John,English,Toronto,7.8,n/a,,,,
Kettle,Lakes,Richmond,Hill,7.8,n/a,,,
Lambton,Kingsway,Toronto,7.8,n/a,,,,
Le,Prélude,Orléans,7.8,n/a,,,,
Mackenzie,Glen,Maple,7.8,n/a,,,,
Madeleine-de-Roybon,Kingston,7.8,n/a,,,,,
Millen,Woods,Waterloo,7.8,n/a,,,,
Oakridge,St,Catharines,7.8,n/a,,,,
Orde,Street,Toronto,7.8,n/a,,,,
Our,Lady,of,Grace,Toronto,7.8,n/a,,
Palgrave,Palgrave,7.8,n/a,,,,,
Saint-Guillaume,Cumberland,7.8,n/a,,,,,
San,Lorenzo,Ruiz,Mississauga,7.8,n/a,,,
Sherwood,Oshawa,7.8,n/a,,,,,
Sir,Adam,Beck,Baden,7.8,n/a,,,
Sir,Richard,W,Scott,Markham,7.8,n/a,,
St,Alfred,St,Catharines,7.8,n/a,,,
St,Andrew,Oakville,7.8,n/a,,,,
St,Brendan,Toronto,7.8,n/a,,,,
St,Brigid,Toronto,7.8,n/a,,,,
St,Frances,Cabrini,Delhi,7.8,n/a,,,
St,Francis,Sault,Ste.,Marie,7.8,n/a,,
St,Gabriel,Brantford,7.8,n/a,,,,
St,Lawrence,Toronto,7.8,n/a,,,,
